logic	n. 逻辑， 推理， 逻辑学
hi	int. 嗨（表示问候等）
spark	vi. 发出火花 n. 火花，火星
aside	adv. 在旁边， 到旁边
eager	adj. 渴望的，热切的
fox	n. 狐狸；狡猾的人
file	n. 档案 v. 把…归档
oil	n. 油；石油 v. 加油于
good	adj. 好的；有本事的
ask	v. 问；要求；邀请
pin	n. 针，饰针 v. 别住
fog	n. 雾， 烟雾， 尘雾
diary	n. 日记，日记簿
saw	n. 锯子 v. 锯，锯开
for	prep. 给；为；因为
hand	n. 手；指针
paw	v. 用爪子抓， 用蹄扒； 翻找 n. 爪子
lot	pron.. 许多，大量 n. 抽签，抓阄
liar	n. 说谎的人
family	n. 家，家庭；家族
hay	n. 干草
pupil	n. 学生，小学生
fan	n. （运动等）狂热爱好者
wheat	n. 小麦
page	n. 页
grape	n. 葡萄， 葡萄藤
kick	v. 踢 n. 踢
jet	vi. 乘喷气式飞机 n. 喷气式飞机；喷嘴；喷射
gown	n. 长袍，长外衣
gay	adj. 快乐的；鲜明的
flush	v. （脸）发红
Latin	adj. 拉丁的 n. 拉丁语
drink	v. 饮 n. 饮料
nut	n. 坚果，干果；螺母
gun	n. 枪，炮，手枪
but	conj. 但是，可是
queue	vi. 排队等候 n. 长队，行列
rural	adj. 农村的， 乡村的
big	adj. 大的，巨大的
half	n. 半，一半 adj. 一半的
blade	n. 刀刃， 刀片， 叶片
lamp	n. 灯
line	n. 线；线条；排；路线
bet	vt. 打赌；敢说，确信 n. 打赌； 赌金， 赌注
along	prep. 沿着 adv. 向前
green	adj. 绿色的 n. 绿色
fluid	adj. 流动的 n. 流体，液体
firm	n. 商行，商号，公司
grey	adj. 灰色的 n. 灰色
claw	v. 抓， 撕 n. 爪，脚爪，螯
owe	vt. 欠； 应把…归功于； 感激， 感恩
gray	adj. 灰色的 n. 灰色
ax	n. 斧子
newly	adv. 新近，最近
lack	n. 缺乏，不足 v. 缺乏，不足
hope	v. 希望 n. 希望
photo	n. 照片，相片
beside	prep. 在…旁边
lid	n. 盖子，盖，囊盖
orbit	n. 轨道 vt. 做轨道运行
nod	v. 点（头）；点头表示
ash	n. 灰， 灰末； 骨灰
wage	v. 开展（运动）
exact	adj. 确切的，精确的 vt. 强求， 索取
often	adv. 经常，常常
hen	n. 母鸡， 雌禽
act	v. 行动；见效 n. 行为
one	num. 一 pron. 一个人
both	pron. 两者（都）
keep	v. 保持；坚持
brick	n. 砖， 砖块， 砖状物
paper	n. 纸；官方文件；文章
pie	n. （西点）馅饼
reply	v. 回答，答复 n. 回答，答复
cake	n. 饼，糕，蛋糕
close	v. 关，闭；结束
hello	int. 喂
slit	n. 裂缝 v. 切开，撕开
volt	n. 伏特， 伏
fast	adj. 快的；偏快的 adv. 快
die	v. 死，死亡；灭亡
chain	n. 链，链条
screw	n. 螺丝 vt. 固定， 拧紧
pause	n. 中止，暂停 v. 中止，暂停
lead	n. 铅，铅制品
ninth	num. 第九 n. 九分之一
job	n. 职业；工作；零活
ankle	n. 踝， 踝关节
dead	adj. 死的，无生命的
me	pron. （宾格）我
owl	n. 猫头鹰，枭
knife	n. 小刀，刀，餐刀
milk	n. 乳，牛奶 v. 挤（奶）
meal	n. 膳食，一餐
during	prep. 在…期间
metal	n. 金属，金属制品
high	adj. 高的；高级的 adv. 高
weed	n. 杂草，野草 v. 除草
calm	adj. 静的，平静的 v. 平静， 镇静
nose	n. 鼻子
loaf	vi. 游荡， 闲逛 n. 面包
motor	n. 发动机， 电动车
brute	n. 禽兽，畜生
cry	v. 哭，哭泣；叫喊
into	prep. 进，入；进入到
maths	n. （英）数学
bag	n. 袋，包，钱包，背包
lazy	adj. 懒惰的，懒散的
worm	n. 虫， 蠕虫
leg	n. 腿，腿部
none	pron. 没有人；没有一点 adv. 毫不
chin	n. 颏， 下巴
map	n. 地图；图；天体图
zone	n. 地区， 区域， 范围
holy	adj. 神圣的， 圣洁的， 虔诚的
copy	n. 抄件 v. 抄写，复制
silk	n. 蚕丝，丝，丝织品
mat	n. 席子；草席；垫子
vague	adj. 模糊的， 含糊的
idea	n. 想法；思想；意见
blue	adj. 蓝色的 n. 蓝色
anyone	pron. 任何人
glare	v. 瞪眼 n. 瞪眼
neck	n. 颈，脖子
begin	v. 开始
ant	n. 蚂蚁
country	n. 国家，国土；农村
lock	n. 锁 v. 锁上，锁住
say	v. 比如说[用于举例]
bomb	n. 炸弹 v. 轰炸
fry	vt. 油煎， 油炸， 油炒
fare	vi. 进展 n. 车费，船费，票价
cease	v. 停止，停息 n. 停止，停息
jazz	n. 爵士音乐， 爵士舞曲
amongst	prep. 在…之中（among）
north	n. 北，北方 adj. 北方的
camp	n. 野营，营地，兵营
need	v. 需要
leave	v. 离去
key	n. 钥匙；键；答案
much	adv. 非常，很 det. 许多的
pan	n. 平底锅；烤盘
sword	n. 剑， 刀
I	pron. （主格）我
Japan	n. 日本，日本国
silly	adj. 傻的，愚蠢的
food	n. 食物，食品；养料，精神食粮
him	pron. （宾格）他
shelf	n. 搁板，架子
daily	adj. 每日的 n. 日报
mine	pron. 我的
Asia	n. 亚洲
nice	adj. 美好的，令人愉快的
auto	n. （口语）汽车
phone	n. 电话，电话机
cat	n. 猫，；猫科动物
body	n. 身体；尸体；主体
royal	adj. 王室的， 皇家的
cut	v. 切，割，剪；减少
oar	n. 浆，橹
kneel	vi. 跪， 跪下， 跪着
level	n. 水平面 adj. 水平的
deer	n. 鹿
a	art. 一（个）；每一（个）
bar	n. 酒吧间；条，杆；栅
plenty	pron. 丰富，充足，大量
pint	n. 品脱
fly	n. 蝇，苍蝇 v. 飞行
friend	n. 朋友，友人
any	adj. 什么，一些；任何的
creep	vi. 爬行， 缓慢地行进
coast	n. 海岸，海滨（地区）
spill	v. 溢出，洒落 n. 溢出
bat	n. 蝙蝠； 球棒， 球拍
far	adj. 远的 adv. 远，遥远
above	prep. 在…上面；高于
hard	adj. 硬的；困难的
dry	adj. 干的，干燥的
mute	adj. 缄默的 n. 哑巴
dorm	n. 宿舍
wear	v. 磨损
his	pron. 他的，他的东西
aware	adj. 知道的， 意识到的
nine	num. 九，九个
before	prep. 在…以前
last	adj. 最后的 adv. 最后
mouth	n. 嘴，口，口腔
camel	n. 骆驼
fourth	pron. 第四 n. 四分之一
March	n. 三月
brow	n. 额， 眉， 眉毛
mayor	n. 市长
alone	adj. 单独的 adv. 单独地
beg	v. 乞求；请求
bough	n. 树枝
bee	n. 蜂，密蜂；忙碌的人
bird	n. 鸟，禽
door	n. 门；通道；一家
sew	v. 缝制， 缝纫
print	v. 印刷 n. 印刷的文字
fit	v. 适合；安装
lay	v. 置放；铺设；设置
cruel	adj. 残忍的，残酷的
desk	n. 书桌，办公桌
opera	n. 歌剧
towel	n. 毛巾， 手巾
car	n. 汽车，小汽车，轿车
guide	n. 导游者 v. 给某人领路，带领
pile	n. 堆 v. 堆叠，累积
row	n. （一）排，（一）行
pair	n. 一对 v. 成对，配对
red	adj. 红色的 n. 红色
dig	v. 掘，挖；采掘
awake	adj. 醒着的 v. 唤醒
lime	n. 石灰
aim	v. 瞄准；针对；致力
because	conj. 由于，因为
go	v. 去；走；变为
ours	pron. 我们的
Roman	n. 古罗马人 adj. 罗马的
pick	n. 镐，鹤嘴锄
between	prep. 在…中间
or	conj. 或，或者；即
medal	n. 奖牌， 奖章， 勋章
post	n. 柱，桩，杆 v. 贴出
its	det.. 它的
tower	n. 塔 v. 屹立，高耸
flare	v. 闪耀
off	adv. （离）开；（停）止
dear	adj. 亲爱的 int. 啊
anger	n. 怒，愤怒 v. 使发怒
April	n. 四月
how	adv. 怎么；怎样；多少
wound	n. 创伤，伤 v. 使受伤
grade	v. 给…分等级 n. 等级
air	n. 空气；空中
look	v. 看，显得 n. 看
free	adj. 自由的；空闲的
eve	n. 前夜， 前夕， 前一刻
gang	vi. 聚集， 结成一伙 n. 一帮，一伙
near	adv. 近，接近 adj. 近的
madam	n. 夫人，女士，太太
if	conj. 假如，如果
per	prep. 每， 每一
age	n. 年龄；时代 v. 变老
egg	n. 蛋，卵；蛋，鸡蛋
June	n. 六月
all	det. 全部的 pron. 全部
India	n. 印度
inn	n. 小旅店， 小酒店
forty	num. 四十，第四十
dip	v. 蘸，浸 n. 游一会儿泳
in	prep. 在…里；进，入
cargo	n. 船货， 货物
four	num. 四，四个，第四
humid	adj. 湿的，湿气重的
pad	n. 垫，衬垫；便笺本；发射台，直升机起落场 vt. 填塞
rainy	adj. 下雨的，多雨的
eighty	num. 八十，八十个
beer	n. 啤酒
aid	n. 帮助； 救护； 助手； 辅助手段
laugh	v. 笑，发笑 n. 笑
hers	pron. 她的（所有物）
brass	n. 黄铜， 黄铜器， 铜管乐器
from	prep. 从…来
rod	n. 杆，竿，棒
late	adj. 迟的 adv. 迟，晚
pink	n. 粉红色 adj. 粉红色的
among	prep. 在…之中
yawn	vi. 打呵欠 n. 呵欠
lawn	n. 草地， 草坪， 草场
gas	n. 气体；煤气；汽油
help	v. 帮助；援助 n. 帮手
widow	n. 寡妇
tin	n. 锡；罐头
left	adj. 左边的
miner	n. 矿工
mix	v. 使混合，混淆
pinch	vt. 捏，拧 n. 撮， 微量
five	num. 五，五个，第五
house	n. 房屋，住宅；商号
eight	num. 八，八个
clear	adj. 清晰的 v. 清除
whilst	conj. 当…的时候
cup	n. 杯子；（一）杯；奖杯
bad	adj. 坏的，恶的；严重的
pig	n. 猪，小猪，野猪
except	prep. 除…之外
weave	v. 织， 编
heir	n. 后嗣，继承人
buy	v. 买，购买
kite	n. 风筝
move	v. 移动；感动 n. 动
sow	v. 播， 播种
glue	n. 胶，胶水 vt. 胶合
at	prep. 在…里；在…时
crow	n. 鸦，乌鸦 v. 啼
cube	adj. 清澈透明的 n. 立方形，立方
knock	v. 敲，击，打 n. 敲，击，打
aunt	n. 伯母，婶母，姑母
fix	v. 决定；使固定
out	adv. 出，在外；现出来
book	n. 书，书籍 v. 预定
peach	n. 桃子，桃树
rat	n. 老鼠，耗子
plan	n. 计划，打算 v. 计划；打算
Greek	adj. 希腊的 n. 希腊人
ice	n. 冰，冰块 v. 冰敷
piano	n. 钢琴
neat	adj. 整洁的
fibre	n. 纤维， 纤维质
trim	adj. 整齐的 vt. 使整齐
clap	v. 拍手，轻拍 n. 拍手， 鼓掌
merry	adj. 欢乐的， 愉快的
rifle	n. 来复枪， 步枪
our	pron. 我们的
low	adj. 低的；矮的；低下的
upper	adj. 上面的， 地位较高的
only	adv. 只，仅仅 adj. 唯一的
gold	n. 金 adj. 金制的
metre	n. 米，公尺
outer	adj. 外面的， 外层的
feel	v. 有知觉；触，摸
ounce	n. 盎司，英两
game	n. 游戏；比赛；猎物
dam	n. 水坝，水堤；障碍物 vt. 筑堤挡住
soil	v. 弄脏
lord	n. 领主， 君主， 贵族
total	adj. 总的 v. 合计，总共
ad	n. 广告
behind	prep. 在…后面
broom	n. 扫帚
box	n. 箱，盒；包厢
cave	n. 山洞，洞穴，窑洞
male	adj. 男的，雄的 n. 男子， 雄性动物
lie	v. 躺；平放；位于
Bible	n. 基督教《圣经》
cope	vi. 应付， 处理
king	n. 国王，君主
of	prep. …的；由于
noun	n. 名词
blend	v. 混和 n. 混和物
layer	n. 层， 层次
eleven	num. 十一，十一个
by	prep. 在…旁；被，由
main	adj. 主要的，最重要的
candy	n. 糖果
manly	adj. 男子气概的，果断的
boy	n. 男孩，少年；家伙
elder	adj. 年龄较大的 n. 长者
twin	adj. 孪生的 n. 孪生儿
hobby	n. 业余爱好， 癖好
pea	n. 豌豆；豌豆属植物
he	pron. （主格）他
eat	v. 吃
add	v. 添加，附加，掺加
bulb	n. 电灯泡， 球状物
radar	n. 雷达，无线电探测器
wing	n. 翼，翅膀，翅
gauge	v. 量，测量 n. 量器
give	v. 做，作；送给
end	n. 末端；目标 v. 结束
rust	v. 生锈， 氧化 n. 铁锈
plain	n. 平原 adj. 清楚的
noon	n. 正午，中午
do	aux. （用于实义动词前构成否定句和疑问句） v. 做，干，办
suit	n. 起诉，诉讼 v. 适合
laser	n. 激光
July	n. 七月
sake	n. 缘故， 理由
tidy	adj. 整洁的，整齐的 v. 整洁， 整齐
eagle	n. 鹰
open	adj. 开的；开放的 v. 开
elbow	n. 肘，肘部 vt. 用肘部， 用肘挤
dye	vt. 染 n. 染料； 染色
knit	v. 把…编结
flu	n. 流行性感冒
first	num. 第一 adv. 最初
ratio	n. 比， 比率
love	v. 爱，喜欢 n. 爱
novel	n. 小说 adj. 新的
day	n. （一）天；白昼，白天
onto	prep. 到…上
ninety	num. 九十，九十个
hotel	n. 旅馆
face	n. 脸；表面
handy	adj. 手边的， 便于使用的
cycle	n. 循环（周期） v. 骑自行车
graph	n. （曲线）图，图表
fleet	n. 舰队， 船队
liter	n. 升（容量单位）
eye	n. 眼睛；眼力
bush	n. 灌木，灌木丛，矮树
widen	v. 加宽， 变宽
basic	adj. 基本的，基础的
own	adj. 自己的 v. 有，拥有
oak	n. 栎属植物；栎木，橡木
no	adv. 不；并不 adj. 没有
ink	n. 墨水，油墨
fifth	num. 第五 n. 五分之一
unless	conj. 除非， 如果不
owner	n. 物主， 所有人
ditch	n. 沟， 沟渠， 渠道
dog	n. 狗，犬；犬科动物
huge	adj. 巨大的，庞大的
few	adj. 很少的；少数的
class	n. 班，班级；阶级；等级
port	n. 港，港口
acre	n. 英亩
joy	n. 欢乐，喜悦；乐事
navy	n. 海军
read	v. 读，看懂
and	conj. 和，又，并；则，那么
spur	n. 刺激物 vt. 刺激， 鞭策， 激励
utter	adj. 完全的，彻底的 vt. 发出， 说， 讲
kind	n. 种类
hot	adj. 热的；刺激的；辣的
old	adj. 老的；…岁的
night	n. 夜，夜间
full	adj. 满的；完全的
tag	vi. 尾随 n. 附加语；标签 vt. 给…加上标签
cash	n. 现金，现款 vt. 把…兑现
movie	n. 电影；电影院
event	n. 事件， 大事， 事变
jam	n. 果酱
pot	n. 锅；壶，罐，盆
lunch	n. 午餐，（美）便餐
soak	v. 浸， 泡
dim	adj. 昏暗的；朦胧的；模糊不清的 v. 变暗淡
pork	n. 猪肉
jaw	n. 颌， 颚
miss	n. 小姐
hundred	num. 百，百个 n. 许多
tube	n. 管， 电子管， 显像管
fool	n. 蠢人，傻子 v. 欺骗
anybody	pron. 任何人
God	n. 神，神像；上帝
odour	n. 气味，味道
pit	n. 地洞，坑；煤矿，矿井 vt. 使有坑
lab	n. 实验室，研究室
fame	n. 名声， 名望
ill	adj. 有病的；坏的 adv. 恶劣地；讨厌地
inside	prep. 在…里面 n. 内部
oh	int. 嗬，哦，唉呀
talk	v. 讲话；谈论
angry	adj. 愤怒的，生气的
Asian	adj. 亚洲的 n. 亚洲人
dress	n. 服装
chew	vt. 咀嚼， 嚼碎
clerk	n. 店员， 办事员， 职员
might	v. 可能，会，也许
unite	v. 联合， 统一
ox	n. 阉牛；牛；公牛
brown	n. 褐色，棕色
cap	n. 帽子，便帽；帽状物
crazy	adj. 疯狂的，荒唐的
pay	v. 支付；付给；给予
about	prep. 关于；在…周围
mourn	v. 哀痛，哀悼
sum	vi. 共计 n. 总数；金额；算术
mud	n. 软泥，泥浆
fold	v. 折叠，合拢 n. 褶， 折叠的部分
beard	n. 胡须， 络腮胡子
Negro	n. 黑人
obey	v. 顺从， 服从
niece	n. 侄女， 外甥女
tyre	n. 轮胎， 车胎
drown	v. 淹死，溺死
nap	n. 小睡，打盹，瞌睡
bit	n. 一点，一些，小片
sole	adj. 单独的， 唯一的 n. 脚底，鞋底，袜底
rapid	adj. 快的
loyal	adj. 忠诚的， 忠心的
ghost	n. 鬼， 灵魂， 鬼魂
iron	n. 铁 v. 烫（衣）
China	n. 中国
crime	n. 罪， 罪行， 犯罪
joke	n. 笑话 v. 说笑话
dot	n. 点，圆点 vt. 打点于
melon	n. 瓜，甜瓜
less	adj. 更少的 adv. 更少地
bus	n. 公共汽车
kiss	v. 吻 n. 吻
pet	n. 爱畜；宠儿
ore	n. 矿，矿石，矿砂
halt	vt. 停止，立定 n. 停住
ear	n. 耳朵；听力，听觉
link	v. 连接，联系 n. 环节， 联系， 纽带
after	prep. 在…以后；次于
acid	adj. 酸的， 酸性的 n. 酸
actor	n. 演剧的人
below	prep. 在…下面（以下）
over	prep. 在…上方；超过
else	adv. 其它，另外 adj. 别的
mouse	n. 鼠，耗子
weld	v. 焊接，熔接 n. 焊接点
life	n. 生命；一生；寿命
let	v. 允许，让；使
billion	num. 万亿（英）
head	n. 头；上端 v. 率领
fifty	num. 五十，五十个
people	n. 人；人民，民族
around	prep. 在…周围
cart	n. 二轮运货马车
herd	n. 兽群，牧群 vt. 放牧
lens	n. 透镜， 镜片， 镜头
ray	n. 光线；射线，辐射线
poet	n. 诗人
rib	n. 肋，肋骨
make	v. 做，制造；使
wind	v. 绕，缠绕
race	n. 比赛，竞赛，竞争
spade	n. 铲， 铁锹
bolt	n. 螺栓，插销 vt. 闩门
drug	n. 药，药物，药材
lest	conj. 唯恐， 以免
pill	n. 药丸，丸剂
million	num. 百万 n. 许多
know	v. 知道；认识；通晓
wheel	n. 轮，车轮
bay	n. 湾； 分隔间
refer	v. 谈到
nylon	n. 尼龙，耐纶
golf	n. 高尔夫球运动
bone	n. 骨，骨骼
want	n. 需要；缺乏
curve	v. 弯曲 n. 曲线，弯，弯曲处
pond	n. 池塘
shore	n. 滨，岸
front	adj. 前面的 n. 前部
fur	n. 软毛， 毛皮， 裘皮； 毛皮衣服
boat	n. 小船，艇
agony	n. 极度痛苦
not	adv. 不，没有
rope	n. 绳，索 vt. 用绳捆
guy	n. 家伙， 伙计
cop	n. 警察
lad	n. 男孩， 小伙子
chaos	n. 混乱， 紊乱
cue	n. 暗示，信号；提示 vt. 提示； 暗示
theme	n. 主题， 题目
hip	n. 臀部， 髋部
cigar	n. 雪茄烟
whereas	conj. 然而， 但是， 尽管
wolf	n. 狼
owing	adj. 应付的， 未付的
thumb	v. 示意要求搭车 n. 拇指
fairy	n. 小精灵， 小仙子
spit	v. 吐唾沫，吐出 n. 唾沫， 唾液
jeans	n. 工装裤， 牛仔裤
rob	vt. 抢劫， 盗窃
media	n. 新闻媒介， 传播媒介
gram	n. 克
rub	vt. 擦， 摩擦
gene	n. 基因
scold	v. 责骂， 训斥
whale	n. 鲸
topic	n. 题目， 论题， 话题
gaol	vt. 监禁 n. 监狱
sauce	n. 调味汁， 作料
oval	adj. 椭圆形的 n. 椭圆形
scary	adj. 引起惊慌的
sin	vi. 犯戒律， 犯过失 n. 罪，罪孽
bacon	n. 咸肉
sigh	vi. 叹气， 叹息 n. 叹息
salad	n. 色拉， 凉拌菜
audio	adj. 听觉的， 声音的
amid	prep. 在…中间， 在…之中， 被…围绕
