access	n. 接近；通道，入口；接近的机会 vt. 存取
grant	n. 授予物；补助金 vt. 授予， 给予； 同意
observe	vt. 注意到， 观察； 评说； 遵守
dormitory	n. 集体寝室， 宿舍
awful	adj. 令人不愉快的， 难过的； 非常的， 极大的
emergency	n. 紧急情况， 突然事件
launch	vt. 发射，投射，发动；使下水 n. 发射； 下水
remove	v. 移动，搬开；脱掉
promote	vt. 促进， 增进， 发扬； 提升； 宣传， 推销
engage	vt. 使从事； 聘用； 吸引； 占用； 使订婚
clinic	n. 诊所
award	n. 奖，奖品；判定 vt. 授予， 给予； 判给， 裁定
cruelty	n. 残暴，残酷
chemical	adj. 化学的 n. 化学制品
renew	v. 重新开始， 继续； 更新； 恢复； 延长有效期
takeoff	n. 起飞
dropout	n. 辍学者
honor	n. 荣誉；崇敬，敬重，敬意
sway	v. 摇，摇动；动摇 n. 摇摆， 摇动； 起支配作用的影响
expert	n. 专家 adj. 熟练的
harm	n. 损害；危害；伤害 v. 伤害，损害〔某事物〕
soar	vi. 猛增， 剧增； 高飞， 升腾； 高涨； 高耸， 屹立
solely	adv. 单独地，唯一地
gift	n. 礼物，赠品；天赋
scale	n. 大小，规模；等级，级别；天平，磅秤；比例；刻度，标度；鳞 vt. 攀登， 爬越
injure	vt. 伤害， 损害， 使遭受损伤
embrace	v. 拥抱；欣然接受，乐意采纳 (新思想、意见、宗教等)
seldom	adv. 很少，罕见
privacy	n. 隐私
choke	vt. 使窒息； 塞满， 塞住
capable	adj. 有能力的， 有才能的
consult	vt. 请教； 查阅； 商议
plastic	adj. 塑料的；可塑的 n. 塑料， 塑料制品； 信用卡
predict	vt. 预言， 预告， 预测
yield	v. 出产；让出，放弃；屈服，顺从；倒塌，垮掉 n. 产量
detail	n. 细节，枝节；零件 vt. 详细说明
donate	v. 捐赠
compare	vt. 比较， 对照； 把…比作
govern	vi. 居支配地位， 占优势 vt. 统治，治理，支配
contact	n. 接触；联系，交往 vt. 与…接触， 与…取得联系
virtual	adj. 实质上的， 事实上的， 实际上的
device	n. 器械， 装置， 设备； 手段， 策略
coach	n. 长途公共汽车；教练，指导；旅客车厢 vt. 训练， 指导， 辅导
crisis	n. 危机， 存亡之际； 关键阶段
enrich	v. 丰富；使富有
consent	v. 允许，同意 n. 同意，赞同
rank	v. 给…评定等级； 列入， 占特定等级 n. 军衔，职衔；地位，社会阶层；排，行列
afford	vt. 担负得起； 提供
enable	vt. 使能够， 使可能
narrow	adj. 狭的，狭窄的
shortcut	n. 捷径，近路
leisure	n. 空闲时间； 悠闲
sphere	n. 球， 球体； 范围
margin	n. 页边空白； 差数， 差额； 余地； 边缘
desire	v. 中文释义；想要：要求 n. 愿望
legend	n. 传说，传奇
quit	vt. 停止， 放弃； 离开， 辞
revenge	n. 报仇
enroll	vi. 入学，加入 vt. 招收， 吸收
logically	adv. 合乎情理地，符合逻辑地
rental	n. 租金
component	adj. 组成的， 构成的 n. 组成部分，部件，组件
faith	n. 信任； 信心； 信仰， 信条； 忠诚
invalid	adj. 无效的
invade	vt. 入侵， 侵略， 侵袭
barely	adv. 仅仅， 只不过， 几乎不
vanish	v. 突然不见， 消失； 不复存在， 绝迹
caregiver	n. 照料者
harsh	adj. 严厉的； 粗糙的
alcohol	n. 酒精， 乙醇
adapt	vt. 使适应； 改编
current	adj. 当前的， 通用的； 流行的， 流传的
stressful	adj. 充满著压力的，充满著紧张的
toothache	n. 牙痛，牙疼
fund	n. 资金，基金；存款 vt. 为…提供资金
delight	n. 快乐 v. 使高兴
steady	vi. 稳定 adj. 稳的，平稳的；稳定的，持续的；稳固的
identical	adj. 完全相同的， 同一的
assess	vt. 对估价； 评价， 评论
expose	vt. 使接触； 揭露
seemingly	adv. 表面上看
energetic	adj. 精力充沛的
moral	adj. 道德的，有道德的 n. 品行； 道德规范； 寓意
dispute	v. 争论， 争执； 对…表示异议 n. 争论
illegal	adj. 不合法的， 非法的
esteem	n. 自尊
deserve	vt. 应受， 值得
crash	vi. 发出撞击声；垮台，破产；冲，闯 vt. 碰撞；坠落 n. 碰撞； 破裂声
affirm	v. 断言，声明
degree	n. 度；学位
fade	vi. 褪色；逐渐消失；凋谢 vt. 使褪色
lessen	v. 减少，减轻；缩小
admit	vt. 承认， 供认； 准许…进入
penalty	n. 处罚， 惩罚； 罚金
major	adj. 较大的；主要的；重大的 n. 少校； 专业
bureau	n. 局， 司， 处， 社， 所
alert	adj. 警觉的，留神的，注意的 vt. 使认识到，使意识到 n. 警戒， 戒备； 警报
achieve	v. 完成，实现；达到
address	n. 地址；演说
agency	n. 经办， 代理； 代理处； 专门行政部门
fate	n. 命运， 天数
steer	v. 掌舵， 驾驶； 操纵
structure	n. 结构，构造 vt. 建造
frame	n. 框架，框子，构架 vt. 给…镶框； 陷害， 诬告； 制定； 表达
code	n. 准则；法典；代码
process	n. 过程，进程；；工序；工艺流程 v. 处理
elegant	adj. 优美的， 文雅的， 讲究的； 简练的， 简洁的
ensure	v. 保证；保护；赋予
frighten	v. 使惊恐，使恐慌
civilized	adj. 文明的
citizen	n. 市民，城镇居民；公民
stake	n. 桩；利害关系；股份；赌金，赌注 vt. 以…打赌， 拿…冒险
keenly	adv. 敏锐地
favorable	adj. 赞同的
competent	adj. 有能力的， 能胜任的
pioneer	n. 拓荒者；先驱者
gloomy	adj. 黑暗的；令人沮丧的
convince	vt. 使确信， 使信服， 说服
routinely	adv. 例行公事地
variety	n. 多样化； 种类； 变种
fatal	adj. 致命的， 命运的； 重大的， 决定性的
flexible	adj. 易弯曲的， 灵活的
pledge	n. 保证，誓言 vt. 保证， 许诺
unique	adj. 唯一的， 独一无二的； 极不寻常的， 极好的
stock	adj. 常用的， 常备的 n. 原料，库存品；股本，公债；世系，血统；汤汁；家畜，牲畜 vt. 储备
rescue	v. 营救，解救，救援 n. 营救，解救，救援
monitor	n. 班长；监视器，检测器；显示器 vt. 监听； 检测
refusal	n. 拒绝
concept	n. 概念， 观念， 设想
render	vt. 使得， 致使； 给予， 提供； 翻译
reframe	v. 再构造(图画、照片等)
impose	vi. 利用， 占便宜； 欺骗 vt. 把…强加于；征
rare	adj. 稀有的， 冷僻的； 珍奇的； 出类拔萃的； 稀薄的； 煎得嫩的
consume	vt. 消费， 吃完， 喝光； 毁灭； 使着迷， 充满
status	n. 地位， 身份； 情形， 状况
lengthy	adj. 长的，漫长的
distant	adj. 在远处的；疏远的
homemaker	n. 主妇
trigger	v. 引发，引起
intend	vt. 想要， 打算； 意思是； 打算使
spread	v. 扩散；传播
include	vt. 包括， 包含
bid	n. 企图，努力；喊价，出价，投标 vt. 喊价， 投标， 出； 祝， 表示； 命令
benefit	v. 有益于； 得益 n. 利益，恩惠；救济金，保险金，津贴
avoid	vt. 避免， 躲开； 撤销
gender	n. 性别
pattern	n. 型，式样，模型 vt. 仿制， 使照…样子
mood	n. 心情， 情绪； 语气
value	n. 价值；价格 v. 评价
scope	n. 范围； 余地， 机会
critic	n. 批评家， 爱挑剔的人
analyze	v. 分析
rival	adj. 竞争的，对抗的 n. 竞争对手，敌手；可与匹敌的人 vt. 与 …竞争； 与…匹敌， 比得上
diploma	n. 文凭
carpenter	n. 木工， 木匠
canteen	n. 小卖部；临时餐室
advocator	n. 主张者，倡导者
prevent	v. 预防，防止；阻止
ceremony	n. 典礼， 仪式， 礼节
assume	vt. 假定， 假设， 臆断； 承担， 担任； 呈现
demand	n. 需求，要求 v. 要求
annoy	v. 使恼怒；打搅；打扰
origin	n. 起源， 起因； 出身， 血统
merit	n. 长处，优点，价值；功劳，成绩 vt. 值得， 应受
arrange	v. 安排， 准备， 整理
bargain	vi. 讨价还价 n. 特价商品；协议，交易
neutral	adj. 中立的； 中性的
therapy	n. 治疗， 理疗
define	vt. 给…下定义， 限定
tailor	n. 裁缝 v. 专门制作；订做
durable	adj. 耐久的， 耐用的
diverse	adj. 不一样的， 相异的； 多种多样的
context	n. 背景，环境
inherit	vi. 成为继承人 vt. 继承
sponsor	n. 发起者 vt. 发起； 资助， 赞助； 支持
porter	n. 搬运工人； 看门人， 大楼管理员
loyalty	n. 忠诚， 忠心
setting	n. 环境， 背景， 布景； 调节， 设定的位置
display	vt. 陈列， 展览， 显示
deliver	v. 投递，送交；发表
astonish	v. 使惊讶，使大为吃惊
abuse	vt. 滥用； 虐待， 伤害； 辱骂， 毁谤 n. 滥用； 虐待， 伤害； 辱骂， 毁谤
broad	adj. 宽的，阔的；广泛的
worldwide	adv. 全世界范围地
strict	adj. 严格的
means	n. 方法， 手段， 工具； 金钱， 财产
reveal	vt. 揭露， 泄露； 展现， 显示
confirm	vt. 证实， 肯定； 确认； 批准
consensus	n. 一致意见
agent	n. 代理人， 代理商； 政府代表； 动因， 原因； 剂
valid	adj. 有效的； 正当的； 有根据的， 有理的
slightly	adv. 轻微地
assign	vt. 指派， 分配， 布置； 指定
racially	adv. 种族上地
exclude	vt. 把…排除在外
puzzling	adj. 令人困惑的
mutually	adv. 互相地
site	n. 地点，场所 vt. 使坐落在； 设置
gear	n. 齿轮，传动装置，排挡；用具，设备；衣服 vt. 使适应， 使适合
raise	v. 提高；筹款；抚养
prohibit	v. 禁止，阻止，防止
bother	v. 烦扰，迷惑 n. 麻烦
pose	vi. 摆姿势；假装，装腔作势 vt. 使摆好姿势；造成，引起；提出，陈述 n. 样子， 姿势
mask	n. 面具，面罩，口罩；伪装 vt. 遮盖， 掩饰
harvest	n. 收获；收成 v. 收割
reject	vt. 拒绝； 拒纳， 退回 n. 次品
skyrocket	v. 突升，猛涨
easygoing	adj. 脾气随和的，温和的
enhance	vt. 提高， 增加， 加强
retain	v. 保持，保留，保有
convey	vt. 表达， 传递； 运送， 输送
combine	v. 结合， 联合； 化合 n. 联合企业； 联合收割机
catalogue	n. 目录 v. 为…编目录，把…列入目录中
council	n. 理事会， 委员会
prepare	v. 准备，预备
retail	n. 零售 v. 零售
image	n. 像； 形象； 映像； 形象的描述
range	v. 变动； 漫游， 四处搜索； 使排列成行 n. 一系列；范围；射程，距离；脉；射击场
spare	v. 抽出；拨出；留出；匀出 adj. 多余的
welfare	n. 幸福； 福利， 福利救济
boost	vt. 提高，使增长；推动，激励；替…做广告，宣扬 n. 提高， 增长； 推动， 激励
patiently	adv. 耐心地
review	v. 再检查 n. 复习
prevail	v. 流行；胜，优胜
maximum	adj. 最大的， 最高的， 顶点的 n. 最大量，顶点
ashamed	adj. 惭愧的， 羞耻的， 害臊的
solve	vt. 解答； 解释； 解决
applicant	n. 申请人
tuition	n. 学费
saint	n. 圣徒； 圣人， 道德高尚的人； [用于人名或地名等前]圣
delay	v. 耽搁；延误；推迟
organ	n. 器官； 机构； 管风琴； 新闻媒介
cite	vt. 引用， 引证； 传唤， 传讯； 表彰， 嘉奖
symptom	n. 症状； 征候， 征兆
deadline	n. 最后期限
induce	v. 引诱
outline	n. 提纲，要点；外形，略图 vt. 概述； 描…外形
committee	n. 委员会， 全体委员
civilian	n. 平民， 百姓
complex	adj. 由许多部分组成的， 复合的； 复杂的， 难懂的
tighten	v. 使变紧
physics	n. 物理，物理学
foothold	n. 立足处（攀登时脚踩的地方）
stale	adj. 不新鲜的； 陈腐的， 过时的
conform	v. 相一致，遵守
annually	adv. 每年，一年一次
frown	n&vi. 皱眉， 蹙额
virus	n. 病毒； 病毒性疾病， 病毒病
potential	adj. 潜在的，可能的 n. 潜力， 潜能
minor	vi. 辅修 adj. 较小的，较少的；次要的 n. 未成年人；辅修科目
grain	n. 谷物， 谷粒； 颗粒； 少量， 微量
radically	adv. 完全地，彻底地
bacteria	n. 细菌
selfish	adj. 自私的， 利己的
client	n. 委托人， 当事人， 顾客
garage	n. 车库；加油站
fatigue	v. 疲劳 n. 疲劳，劳累
plant	n. 植物；工厂 v. 栽种
endanger	v. 危及，危害，濒临危险
handle	n. 柄，把手 vt. 拿， 触； 操作， 处理
loan	n. 贷款；暂借 v. 借出
overflow	v. 溢出，淹没
amusing	adj. 有趣的，好玩儿的
backslide	v. 倒退，退步
reward	n. 报答，奖赏；报酬，酬金 vt. 报答， 酬谢， 奖励
worsen	v. （使）变得更坏
feedback	n. 回授， 反馈， 反应
resign	vi. 辞职 vt. 辞去， 放弃； 使听从， 使顺从
compel	vt. 强迫， 迫使屈服
dampen	v. 抑制
pursue	vt. 继续； 从事； 追赶， 追踪； 追求
mill	v. 磨， 碾 n. 磨坊；碾磨机；制造厂，工厂
dump	vt. 倾卸，倾倒；倾销 n. 垃圾场
source	n. 河的源头， 根源； 来源， 出处
legal	adj. 法律的； 合法的
ignore	vt. 不顾， 不理， 忽视
complete	v. 完成 adj. 完整的，彻底的
switch	v. 转换， 改变 n. 开关，电闸；转换，改变
request	n. 请求，要求 v. 请求，要求
couple	n. 夫妇；（一）对；几个
honesty	n. 诚实，正直
divine	adj. 神圣的
guideline	n. 指导方针， 准则
promising	adj. 有希望的，有前途的
vary	v. 改变；使多样化
permanent	adj. 永久的， 固定的
fussy	adj. 爱挑剔的；
prosper	v. 繁荣
exchange	n. 交换，交流 v. 交换，交流
gesture	v. 做手势 n. 姿势，手势，姿态
evident	adj. 明显的， 明白的
insult	vt. 侮辱， 凌辱 n. 侮辱， 凌辱
neglect	v. 疏于照料；疏忽 n. 疏忽
asset	n. 资产， 财产； 有价值的特性或技能， 优点
engine	n. 引擎， 发动机； 机车
genuine	adj. 真的， 真正的； 真诚的
lodge	v. 暂住，借宿 n. 乡间小屋； 旅舍
cheat	v. 欺骗；作弊；哄，行骗 n. 欺骗， 欺骗行为； 骗子
painful	adj. 疼痛的， 引起疼痛的； 困难的； 令人不快的
emerge	vi. 出现， 涌现， 冒出
steep	adj. 险峻的， 陡峭的； 过高的； 急剧的
persuade	v. 说服
procedure	n. 程序， 手续， 步骤
signature	n. 署名， 签字， 签名
surpass	v. 超过
average	adj. 平均的；平常的 v. 平均 n. 平均数，平均
invest	v. 投资， 投入； 授予
ease	n. 容易；舒适 vt. 缓和
excellent	adj. 卓越的，杰出的，极好的
struggle	v. 搏斗
military	adj. 军事的，军用的 n. 军队， 武装力量
suffer	v. 遭受， 忍受， 容许； 受痛苦， 受损
visible	adj. 可见的， 看得见的， 有形的
swift	adj. 快的； 反应快的； 敏捷的
battle	n. 战役；斗争 v. 作战
familiar	adj. 熟悉的
terribly	adv. 可怕地，非常
refine	vt. 精炼， 精制， 提纯； 使优美， 使完善
comply	v. 遵从
justice	n. 正义， 公正； 司法
provoke	vt. 对…挑衅， 激怒； 激起， 引起
lobby	v. 向进行游说 n. 大厅；休息室；院外活动集团
explore	vt. 探险， 探索； 仔细查阅， 探究
profound	adj. 深厚的
exploit	vt. 剥削； 利用； 开拓 n. 业绩， 功绩
startup	n. 启动，开办
laundry	n. 洗衣房， 洗衣店； 待洗的衣服， 洗好的衣服
seize	v. 抓住；夺取；逮捕
poison	n. 毒，毒药 vt. 毒害
bakery	n. 面包店
wedding	n. 婚礼
fair	adj. 公平的；相当的
riot	vi. 聚众闹事 n. 暴乱，骚乱；极度丰富 vt. 把浪费在放荡的生活上
acute	adj. 严重的； 急性的； 灵敏的， 敏锐的； 精明的
endure	v. 忍受， 容忍； 持久， 持续
opponent	n. 对手， 敌手， 对抗者
stir	v. 搅动；拨动；激动；唤起 n. 搅拌， 搅动； 激动， 骚乱
rocket	vi. 迅速上升， 猛涨 n. 火箭
attribute	vt. 把…归因于 n. 属性
tempting	adj. 诱人的，吸引人的
outcome	n. 结果，后果，成果
diligent	adj. 勤勉的，勤奋的
deprive	v. 剥夺，夺去，使丧失
justify	vt. 证明…是正当的
announce	v. 宣布，宣告，发表
advisory	n. 报告，警告
mystery	n. 神秘；神秘的事物
punctual	adj. 严守时刻的， 准时的
harmony	n. 调和， 协调， 和谐
financial	adj. 财政的， 金融的
bankrupt	adj. 破产的，倒闭的
intake	n. 摄入
admire	vt. 钦佩， 羡慕； 赞赏， 称赞， 夸奖
tasteless	adj. 无味的
caution	n. 小心，谨慎 v. 警告，告诫
pointless	adj. 无意义的
mutual	adj. 相互的； 共同的
passive	adj. 被动的， 消极的
evolve	vt. 使进化， 使发展
fancy	adj. 昂贵的； 别致的 n. 想象力，设想；爱好 vt. 喜欢；想象，猜想
fuss	n&vi. 忙乱； 大惊小怪， 小题大做； 烦恼， 过于忧虑
cancel	vt. 取消， 撤销； 删去
peer	vi. 仔细看， 费力地看 n. 同龄人，同等地位的人；贵族
virtually	adv. 实际上， 事实上
accustom	v. 使习惯
advice	n. 劝告；忠告；意见
makeup	n. 化妆品
apply	vi. 适用； 申请， 请求； 涂， 敷， 施 vt. 应用，实施；使用；涂敷；把…施于
ancient	adj. 古代的， 古老的； 年老的， 看上去很老的
evil	n. 祸害；邪恶 adj. 坏的
namely	adv. 即， 也就是
effect	n. 结果；效果，效力
devote	vt. 将…奉献给； 把…专用
appoint	vt. 任命， 委任； 约定， 指定
dilemma	n. 困境
mislead	vt. 给…错误印象， 使误解； 把…带错路； 使误入歧途
dessert	n. 甜食， 点心
tremble	vi. 发抖，哆嗦；摇动 n. 颤抖； 摇晃， 摇动
ignorant	adj. 不知道的， 无知的
acquire	vt. 取得， 获得， 学到
compete	vi. 比赛， 竞争， 对抗
joint	adj. 连接的； 共同的 n. 接头，接缝；关节
overload	n. 负担太重
vote	v. 投票； 表决 n. 票，选票；选举，投票，表决；表决结果，投票总数
melt	v. 融化； 熔化； 消散
detect	vt. 察觉， 发觉； 侦查出
grave	adj. 严重的； 严肃的 n. 坟墓
reduce	v. 减少，减小
wise	adj. 聪明的，有智慧的
symbol	n. 象征； 符号， 标志
repave	v. 再铺，重新铺砌
downfall	n. （雨等的）大下特下
planet	n. 行星
pension	n. 养老金，抚恤金 vt. 发给…养老金
attempt	n. 尝试，试图 v. 尝试，试图
detailed	adj. 细节的，详细的
behave	v. 表现， 举止； 运转， 作出反应
hazard	n. 危险；公害 vt. 尝试着做； 冒…风险
appealing	adj. 吸引人的
fitness	n. 健康
antique	adj. 古时的， 过时的 n. 古物，古董
myth	n. 杜撰出来的人； 神话
trace	n. 痕迹；丝毫，少许 vt. 跟踪； 追溯； 描摹
protest	v. 抗议， 反对 n. 抗议， 反对
refuel	v. （给）加油，加燃料
fine	adj. 美好的；纤细的
expand	vt. 扩大， 使膨胀
offense	n. 犯规， 违法行为； 冒犯， 得罪
abruptly	adv. 突然地
recycle	v. 循环，再利用
rude	adj. 粗鲁的， 不礼貌的； 粗糙的， 粗陋的
embarrass	vt. 使窘迫， 使为难
weaken	v. 削弱， 变弱
mineral	n. 矿物 adj. 矿物的
sticky	adj. 黏性的， 胶黏的； 湿热的
excess	adj. 过量的， 额外的 n. 超越； 过量， 过度
restock	v. 重新进货，再储存
convict	vt. 证明…有罪， 宣判…有罪 n. 囚犯
deepen	v. 使加深，加剧
tank	n. 大容器，槽；坦克
impact	n. 影响， 作用， 冲击
refuse	v. 拒绝
soluble	adj. 可溶的；可以解决的
brave	adj. 勇敢的； 华丽的
bulk	vi. 变得越来越大； 使更大 n. 物体；体积；大批
dragon	n. 龙
December	n. 十二月
lately	adv. 最近，不久前
down	adv. 向下；在下面
mirror	n. 镜子 v. 与〔另一事物〕相似；反映
quiet	adj. 安静的；寂静的
fight	v. 打（仗）；斗争
missing	adj. 缺掉的， 失踪的
dirty	adj. 脏的；下流的
rent	v. 租借，租用；出租，出借 n. 租金； 出租
abroad	adv. 到国外； 在传播， 在流传
offend	vt. 冒犯， 伤害…的感情； 使厌恶； 违反
belong	v. 属于
arouse	vt. 引起； 唤起， 唤醒
express	v. 表示 n. 快车；快递
imagine	v. 想象，设想
barrier	n. 栅栏； 检票口； 屏障； 障碍， 隔阂
lane	n. 小路； 跑道； 航道， 航线
notebook	n. 笔记本，期票簿
realm	n. 界， 领域， 范围； 王国， 国度
lever	n. 控制杆；杆，杠杆
pilot	adj. 试验性的， 试点的 n. 引航员；飞行员 vt. 驾驶；为引航；试验，试用
direct	adj. 直接的；直率的
ribbon	n. 缎带， 丝带； 色带
partner	vi. 做…的搭档 n. 伙伴，合伙人，搭档，配偶
hamburger	n. 汉堡包，牛肉饼
differ	vi. 不同， 相异； 发生分歧
public	adj. 公众的 n. 公众
palace	n. 宫，宫殿
pulse	vi. 搏动， 跳动 n. 脉搏；脉冲
toast	n. 烤面包；祝酒，祝酒词 vt. 烘， 烤； 向…祝酒， 为…干杯
scenery	n. 风景， 景色； 舞台布景
living	adj. 活的 n. 生活，生计
conquer	vt. 征服， 战胜； 破除， 克服
execute	vt. 将…处死； 实施， 执行
conceal	vt. 把…隐藏起来， 掩盖， 隐瞒
certain	adj. 肯定的；确实的
apparent	adj. 表面上的， 明显的
messenger	n. 送信者，信使
youth	n. 青春；青年们；青年
downward	adj. 向下的 adv. 向下地
fact	n. 事实；实际，实情
cool	adj. 凉的；冷静的
program	n. 程序；节目单
normal	adj. 正常的， 平常的； 正规的， 规范的
order	n. 次序；整齐 v. 命令
stage	n. 阶段；舞台
everyone	pron. 每人，人人
hatch	v. （蛋）孵化；孵出
honey	n. 蜜， 蜂蜜； 甜， 甜蜜； [常用于称呼] 宝贝儿
calendar	n. 日历， 历书， 历法
manual	adj. 用手的；手工做的 n. 手册， 指南
cabinet	n. 橱， 柜； 内阁
never	adv. 永不，决不；不
laughter	n. 笑， 笑声
fourteen	num. 十四
cast	vt. 投，扔，抛；浇铸 n. 演员表， 全体演员； 石膏绷带； 铸型， 铸件； 投， 抛
animal	n. 动物，兽 adj. 兽欲/动物本能等（animal urges/instincts）
mend	v. 修补，缝补；修理
bathe	v. 洗澡； 游泳
shortage	n. 不足，缺少，不足额
tunnel	v. 挖， 开 n. 隧道，坑道，地道
minimum	adj. 最低的， 最小的 n. 最低限度；最小量
hedge	v. 用篱笆围； 避免直接回答 n. 篱笆，树篱；障碍物
bundle	n. 捆，包，束；包袱 vt. 收集， 归拢； 把…塞入
shift	v. 移动，转移；改变，转变 n. 转换， 转变； 轮班
board	vi. 搭伙； 膳宿 n. 板，牌子；木板，纸板；委员会，董事会；伙食 vt. 上
custom	n. 习惯，风俗；海关
patch	n. 补丁；斑，与周围不同的部分；一小块地 vt. 补， 修补
defeat	n&vt. 战胜， 挫败
child	n. 小孩，儿童；儿子/女儿
employ	v. 雇用；用；使忙于
may	modal verb. 可能；可以；祝
freeze	v. 冻；结冻
greeting	n. 问候，招呼，致敬
sincere	adj. 真诚的， 诚挚的
guard	v. 守卫；看守 n. 卫兵
worthy	adj. 值得尊敬的；值得的
breakfast	n. 早饭，早餐
notice	v. 注意 n. 注意；通知
best	adj. 最好的；最大的
crown	n. 王冠，冕；花冠
meadow	n. 草地，牧草地
fish	n. 鱼；鱼肉 v. 钓鱼
lose	v. 失去；迷失；输掉
mere	adj. 仅仅的； 纯粹的
bell	n. 钟，铃，门铃；钟声
English	n. 英语 adj. 英国人的
gardener	n. 园丁， 花匠
pleasant	adj. 令人愉快的，舒适的
adopt	vt. 收养； 采用， 采取； 正式通过， 批准
master	n. 能手；主人；硕士
pipe	n. 管子，导管；烟斗
trumpet	n. 喇叭，小号 vt. 大声宣告， 鼓吹
abandon	vt. 离弃，丢弃；遗弃，抛弃；放弃 n. 放任； 纵情
double	adj. 双的；两倍的
extreme	adj. 极度的；末端的 n. 极端， 过分
confess	vt. 供认， 坦白； 承认
elevator	n. 电梯， 升降机
kilogram	n. 千克，公斤
swear	v. 宣（誓）；诅咒
elastic	adj. 有弹性的， 灵活的 n. 松紧带
break	v. 打破；损坏；破坏
capital	n. 首都；资本，资金
exam	n. 考试；检查，细查
inhabit	v. 居住于，栖息于
ministry	n. （政府的）部
stem	vi. 起源 n. 茎，干；词干 vt. 堵住， 止住， 停住
core	n. 果实的心； 核心， 要点
roll	v. 滚动；转动
repair	v. 修理，修补 n. 修理，修补
broken	adj. 被打碎的；骨折的
lecture	n. 演讲，讲课 v. 演讲，讲课
bleed	vi. 出血， 流血； 泌脂 vt. 勒索…的钱
become	v. 变得；变成；成为
land	n. 土地；陆地 v. 上岸
bold	adj. 勇敢的； 鲁莽的； 粗体的， 黑体的； 醒目的
prison	n. 监狱；监禁
modest	adj. 谦虚的；不太大的；不很贵的
leather	n. 皮革， 皮革制品
length	n. 长，长度；一段
turbine	n. 叶轮机， 汽轮机
label	n. 标签；标记，符号 vt. 贴标签于； 把…称为
professor	n. 教授
nothing	n. 没有东西 adv. 毫不
palm	n. 手掌， 掌状物； 棕榈树
limit	n. 限度；限制；范围
crude	adj. 简陋的， 天然的； 粗鲁的， 粗俗的
forget	v. 忘记，遗忘
appear	v. 似乎；出现；来到
dollar	n. 元〔美国、加拿大、澳大利亚等国的货币单位〕
answer	v. 回答；响应
barn	n. 谷仓； 牲口棚
pale	adj. 苍白的；浅的
rhythm	n. 韵律，格律；节奏
local	adj. 地方性的； 本地的； 局部的； 狭隘的
nuclear	adj. 核子的， 核能的， 核武器的； 核心的
exactly	adv. 确切地；恰恰正是
shield	n. 防护物，护罩；盾 vt. 保护， 防护
network	n. 网状物； 广播网， 电视网； 网络
disease	n. 病， 疾病； 不健全； 弊端
French	adj. 法国的 n. 法国人
basket	n. 篮，篓，筐
throughout	prep. 遍及 adv. 到处
clasp	n. 扣子，钩子；别针
unit	n. 单位；单元；部件
spring	v. 跳，跃 n. 泉；跳跃
grammar	n. 语法； 语法书
army	n. 军队；陆军
ladder	n. 梯子，梯状物
doubt	n. 怀疑；疑虑 v. 怀疑
fork	n. 餐叉；叉；分叉
course	n. 课程；过程；一道菜
envy	n. 妒忌，羡慕；妒忌的对象 vt. 妒忌， 羡慕
duck	n. 鸭；中文释义: 雌鸭；鸭肉
remark	vt. 说；评论说 n. 话语； 谈论， 评论
explode	vi. 爆炸； 激增； 发怒 vt. 使爆炸
tragedy	n. 悲剧， 惨事， 惨案； 悲剧艺术
scissors	n. 剪刀，剪子
atom	n. 原子；微粒；微量
